row	Weight.of.20.seeds	Average.cob.length	Average.cob.weight	Average.cob.width
2557	4.6	9.583333333	10.16666667	21.73333333
2559		8.016666667	4.28	18.44
2561		8.85		
2563		13.56666667	14.36666667	24.56666667
2565		14.03333333		
2567		12.28333333		
2569		11.2		
2571		15.28333333		
2573		15.11666667		
2575		7.3	2.95	22.05
2577		17.65		
2579		13.01666667	13.48333333	25.63333333
2581		10.88333333	5.633333333	18.53333333
2583		11.42	12.22	20.56
3001		13.12	11.38	18.92
3003	5.6	14.93333333	18.1	20.6
3005		14.83333333	14.1	23.63333333
3007		9.05		
3009	4.9	13.61666667	11.03333333	19.2
3011		7.766666667	7.875	21
3013	5.1	14.55	11.56666667	18.96666667
3015		12.63333333	10.43333333	22.11666667
3017		9.383333333	6.083333333	19.86666667
3019	4.6	13.13333333	10.33333333	20.03333333
3021		8.5	4.76	17.24
3023		12.01666667	13.98333333	23.91666667
3025		10.86666667		
3027	4.1	11.93333333	14	23.33333333
3029		10.48333333	12.83333333	24.93333333
3031		11.26666667	12.73333333	26.13333333
3033		12.38333333	19.71666667	25.16666667
3035		9	8.05	25.1
3037	5.2	14.41666667	10.76666667	19.43333333
3039		11.95	18.25	27.675
3041		10.96666667	7.266666667	24.53333333
3043		11.3	8.183333333	20.11666667
3045	5.6	10.28333333	14.46666667	25.36666667
3047	6.4	12.28333333	8.533333333	18.86666667
3049		15.86666667	15.25	22.5
3051		10.9	12.86	22.54
3053		12.78333333	15.6	23.41666667
3055	4.3	14.63333333	22.33333333	25.4
3057				
3059	3.7	11.2	8.433333333	20.23333333
3061	4.3	11.28333333	9.7	20.6
3063		13.96666667	11.2	21.68333333
3065		10.669	9.666666667	19.18333333
3067		11.78	10.2	25.06666667
3069	5.3	15.58571429	13.05	20.1
3071	5	14.05	9.766666667	17.6
3073		14.1	23.9	27.93333333
3075		10	5.8	19.6
3077	3.5	14.13333333	12.53333333	18
3079	4.6	12.12857143	6.35	18.775
3081		10.61666667	11.3	22.63333333
3083		8.166666667	8.5	23.56666667
3101	4.1	10.85	14.86666667	23.46666667
3103		15.03333333	14.66666667	22.95
3105	5.1	10.58333333	8.433333333	19.96666667
3107		13.8		
3109		12.41666667	10.71666667	22.46666667
3111		16.06666667		
3113		15.38333333	13.9	21.93333333
3115	7.1	14.03333333	17.33333333	26.76666667
3117	5.7	11.98333333	6.333333333	19.76666667
3119	3.1	11.05	6.666666667	16.53333333
3121		12.06666667		
3123	5.6	15.3	16.43333333	24.03333333
3125		16.48333333		
3127		14		
3129	5.4	13.28333333	12.73333333	21.93333333
3131	7.2	9.783333333	11.3	20.96666667
3133	5.2	15.21666667	13.16666667	20.49
3135	4.1	13.26666667	14.4	21.93333333
3137	4.5	13.66666667	14.46666667	24
3139		10.63333333		
3141		12.86666667		
3143		10.24		
3145		11.47142857		
3147		12.61666667		
3149		14.3		
3151		16.66		
3153	5.7	14.2	23.63333333	27.23333333
3155	5.1	9.766666667	12.13333333	20.93333333
3157		8.966666667	8.8	21.75
3159		11.71666667		
3161		10.01666667	7.383333333	22.48333333
3163	2	10.76666667	14.43333333	20.96666667
3165		10.8	7	20.88333333
3167		14.1	9.014285714	22.76666667
3169	2.2	13.48333333	8.7	18.36666667
3171	4.8	13.2	13.26666667	19.43333333
3173	5.4	15.35	14.9	21.2
3175		12.46666667		
3177	4.4	14.73333333	13.06666667	23.3
3179		14.8		
3181		12.9	21.81666667	29.51666667
3183	4.5	13.2	10.2	17.33333333
3201		8.275	4.775	18.95
3203	5.1	14.86666667	14.13333333	21.3
3205		10.28333333	13.13333333	24.95
3207				
3209	3.1	14.48333333	15.8	25.2
3211	4.7	14.26666667	11.1	19.23333333
3213	2.6	11.86666667	8.1	20.66666667
3215	3.9	11.55	6.633333333	17.26666667
3217	4.7	11.03333333	13.06666667	23.3
3219	4.2	11.96666667	6.833333333	21.6
3221		7.583333333	6.15	18.9
3223	1.9	13.85	23.8	28.1
3225	5.1	14.4375	14.15	21.475
3227		8.733333333	7.733333333	23.01666667
3229	4.2	10.5	14.1	23.03333333
3231	5.1	13.98333333	11.93333333	19.86666667
3233	4.1	10.23333333	11.3	23.86666667
3235		8.3875	8.8	24.13333333
3237	4.5	10.18333333	6.533333333	18.83333333
3239		12.58		
3241		14.03333333		
3243		12.6		
3245				
3247	4.7	13.96666667	17.86666667	24.46666667
3249	6.9	12.175	14.975	23.575
3251	5.7	15.55714286	24.55	22.775
3253		14.28333333	16.9	21.65
3255	5.6	14.51666667	19.4	24.4
3257	5.3	12.5	14.93333333	25.26666667
3259		12.33333333	8.666666667	20.81666667
3261		11.6	9.7	21.2
3263		10.45		
3265		11.4		
3267		16.28333333	17.73333333	24.56666667
3269		10.625		
3271	6.2	11.48333333	16.46666667	26.03333333
3273	5.3	15.46666667	13.06666667	18.76666667
3275		9.625		
3277	6	13.68333333	16.13333333	22.03333333
3279	5.1	16.95	20.93333333	24.33333333
3281		15.83333333		
3283	6.5	17.08333333	18.8	21.23333333
3301		8.914285714	5.057142857	18.81666667
3303		14.68333333		
3305		11.73333333	6.566666667	21.4
3307	5.2	10.31666667	12	24.96666667
3309		9.457142857	13.42857143	25.25
3311	4	15.16666667	38.03333333	31.5
3313	6.3	11.31666667	7.566666667	16.33333333
3315	5	15.93333333	13.6	20.9
3317	4.5	14.18	7.833333333	21.13333333
3319	4.6	12.85	25.93333333	29.73333333
3321	4.3	12.71666667	15.36666667	24.93333333
3323		11.86	17.12	26.1
3325	5.8	11.13333333	7.533333333	20.4
3327	5.3	11.83333333	13	21.23333333
3329		11.33333333	8.233333333	22.23333333
3331		17.36666667	14.6	21.66666667
3333	5.3	11.93333333	11.2	23.1
3335		11.98333333	11.13333333	22.05
3337	3.9	11.7	13.63333333	24.26666667
3339		13.88571429	8.428571429	17.48333333
3341	4.3	12.58333333	10	19.4
3343	6.3	11.73333333	16.06666667	22.63333333
3345	4.9	12.75	15.16666667	22.03333333
3347	6.2	13	21.13333333	26.16666667
3349		16.58571429	23.15714286	24.76666667
3351		14.35	16.35	24.95
3353		14.77142857		
3355		11.48	14.36	26.46
3357		13.28571429	18.55	22.3
3359		13.2	16.1	27.1
3361	4.4	14.88333333	20.53333333	26.6
3363	4.5	11.71666667	12.5	22.5
3365	6.8	10.3	13.23333333	25.23333333
3367	5.5	10.1875	7.15	20.775
3369		16.92	15.275	23.425
3371		11.91666667	8.966666667	20.21666667
3373		7.525	2.9	21.1
3375	5.8	10.5	13.46666667	25.63333333
3377	4.6	13.9	11.43333333	19.9
3379	5.6	14.11666667	15.96666667	22.03333333
3381	4.1	8.8	6.5	17.53333333
3383	4.8	10.18333333	7.266666667	17.1
3401	2.2		7.3	18
3403	5.6		15.86666667	23.63333333
3405	4.1	10.83333333	14.5	24.83333333
3407	4.4		13.63333333	28.16666667
3409		14.71666667		
3411		15		
3413		9.928571429		
3415		13.91666667	9.65	23.11666667
3417		16.12		
3419		10.56666667	7.1	21.43333333
3421		12.41428571	14.31428571	25.35
3423				
3425		14.71666667		
3427	5.5		14.36666667	22.23333333
3429		16.6	15.21666667	22.2
3431	3.7		16.2	19.63333333
3433	3.2	13.26666667	11.56666667	21.63333333
3435		9.833333333		
3437	5.8		18.13333333	21.33333333
3439		9.666666667	5.216666667	18.15
3441		12.58333333		
3443		15.2	9.25	21.65
3445	5.4	13.9	10.23333333	19.4
3447		10.025		
3449		10.4		
3451	4.6	14.86666667	10.7	20.7
3453		10.56	8.22	21.2
3455		13.64	18.5	26.06
3457		14.51666667		
3459	5.4	12.46666667	14.16666667	22.2
3461		14.2		
3463		10.33333333		
3465	4.3	8.866666667	10.16666667	23.86666667
3467	4		11.83333333	22.23333333
3469		12.7		
3471	3.8	14.43333333	13.43333333	21.66666667
3473		12.8		
3475		15.26666667		
3477		13.2	18	24.46666667
3479	3.2		10.83333333	21.1
3481	4.6	12.33333333	14.63333333	23.66666667
3483	4.2	14.16666667	11.4	20.6
3501	4.5	12.56666667	10.06666667	21.6
3503		11.15	14.75	27.8
3505	4.7	12.11666667	11.95	23.45
3507		13.06666667	12.03333333	23.03333333
3509	5.8	10.7	16.6	21.73333333
3511	3.3	10.8	6.066666667	20.46666667
